,customer_id,recency,frequency,monetary
0,CS1112,2015-01-14,15,1012
1,CS1113,2015-02-09,20,1490
2,CS1114,2015-02-12,19,1432
3,CS1115,2015-03-05,22,1659
4,CS1116,2014-08-25,13,857
5,CS1117,2014-07-02,17,1185
6,CS1118,2015-03-14,15,1011
7,CS1119,2015-03-05,15,1158
8,CS1120,2015-03-06,24,1677
9,CS1121,2015-02-03,26,1524
10,CS1122,2015-02-02,16,1156
11,CS1123,2014-11-27,19,1331
12,CS1124,2015-01-02,18,1127
13,CS1125,2015-02-19,12,885
14,CS1126,2014-09-18,19,1165
15,CS1127,2015-02-05,24,1676
16,CS1128,2014-12-31,26,1921
17,CS1129,2014-11-30,12,853
18,CS1130,2015-03-13,19,1185
19,CS1131,2015-02-24,14,998
20,CS1132,2015-02-17,16,1074
21,CS1133,2015-02-21,19,1413
22,CS1134,2014-11-27,16,1166
23,CS1135,2014-04-15,20,1267
24,CS1136,2015-02-17,20,1339
25,CS1137,2015-01-20,20,1380
26,CS1138,2015-03-03,24,1863
27,CS1139,2014-11-25,18,1245
28,CS1140,2015-02-16,20,1434
29,CS1141,2015-01-22,25,1778
30,CS1142,2014-10-06,22,1847
31,CS1143,2014-08-16,16,1255
32,CS1144,2014-10-11,18,1222
33,CS1145,2014-10-25,27,1967
34,CS1146,2015-03-09,16,1117
35,CS1147,2015-03-12,15,1004
36,CS1148,2014-12-23,25,1733
37,CS1149,2015-03-01,25,1768
38,CS1150,2014-12-17,14,1075
39,CS1151,2015-02-18,16,1040
40,CS1152,2015-03-10,20,1457
41,CS1153,2015-02-10,18,1274
42,CS1154,2015-03-16,23,1436
43,CS1155,2014-11-10,19,1317
44,CS1156,2015-03-07,20,1445
45,CS1157,2015-02-25,21,1427
46,CS1158,2014-12-04,18,1159
47,CS1159,2015-02-08,22,1439
48,CS1160,2015-01-31,20,1380
49,CS1161,2015-03-12,22,1389
50,CS1162,2015-02-25,24,1815
51,CS1163,2015-02-06,18,1290
52,CS1164,2015-02-27,26,2037
53,CS1165,2014-12-12,20,1335
54,CS1166,2014-12-08,19,1507
55,CS1167,2014-11-17,16,1132
56,CS1168,2014-11-25,14,916
57,CS1169,2014-12-20,18,1175
58,CS1170,2015-03-13,18,1272
59,CS1171,2015-03-15,22,1555
60,CS1172,2014-07-01,18,1306
61,CS1173,2015-01-26,21,1429
62,CS1174,2015-02-21,23,1554
63,CS1175,2015-01-23,17,1106
64,CS1176,2015-02-15,18,1401
65,CS1177,2015-02-06,17,1310
66,CS1178,2015-02-13,22,1535
67,CS1179,2015-01-29,29,2091
68,CS1180,2015-01-21,23,1637
69,CS1181,2015-01-18,27,1893
70,CS1182,2014-12-04,24,1749
71,CS1183,2015-03-04,26,1967
72,CS1184,2015-03-16,28,1999
